Customer_Index,Churn_Probability,Risk_Level,MonthlyCharges,Customer_Value_Score,Retention_Priority,Top_Churn_Drivers,Top_Retention_Drivers,Recommended_Action
2208,0.9599423,Critical Risk,100.8,High Value,Critical,"numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female","categorical__gender_Male, categorical__Partner_No, categorical__DeviceProtection_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female."
6215,0.9420536,Critical Risk,98.25,High Value,Critical,"numerical__MonthlyCharges, numerical__tenure, categorical__Contract_Month-to-month","categorical__gender_Male, categorical__Partner_Yes, categorical__OnlineBackup_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__MonthlyCharges, numerical__tenure, categorical__Contract_Month-to-month."
2745,0.94132805,Critical Risk,86.05,High Value,Critical,"numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__Partner_No, categorical__DeviceProtection_Yes, categorical__StreamingMovies_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
983,0.9358118,Critical Risk,86.6,High Value,Critical,"numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__Partner_Yes, categorical__DeviceProtection_Yes, categorical__StreamingTV_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
3749,0.93320096,Critical Risk,93.85,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No","categorical__Partner_Yes, categorical__DeviceProtection_Yes, categorical__gender_Female","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No."
6368,0.93320096,Critical Risk,94.0,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No","categorical__Partner_Yes, categorical__DeviceProtection_Yes, categorical__gender_Female","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No."
1148,0.9303905,Critical Risk,95.15,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female","categorical__gender_Male, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female."
2280,0.92751247,Critical Risk,100.15,High Value,Critical,"numerical__MonthlyCharges, numerical__tenure, categorical__Contract_Month-to-month","categorical__gender_Male, categorical__TechSupport_No, categorical__PaymentMethod_Electronic check","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__MonthlyCharges, numerical__tenure, categorical__Contract_Month-to-month."
642,0.9239667,Critical Risk,89.55,High Value,Critical,"numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__MultipleLines_No, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
6232,0.9220132,Critical Risk,100.5,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female","categorical__gender_Male, categorical__Partner_Yes, numerical__TotalCharges","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female."
1423,0.91321754,Critical Risk,101.1,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__Partner_No, categorical__DeviceProtection_No, categorical__gender_Female","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
346,0.9131878,Critical Risk,90.4,High Value,Critical,"numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female","categorical__gender_Male, categorical__MultipleLines_No, categorical__Partner_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female."
582,0.91105103,Critical Risk,89.2,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female","categorical__gender_Male, categorical__Partner_Yes, categorical__StreamingMovies_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female."
6240,0.9088617,Critical Risk,93.3,High Value,Critical,"numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__Dependents_No, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
5019,0.908672,Critical Risk,95.6,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__Partner_Yes, categorical__DeviceProtection_Yes, categorical__gender_Female","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
2784,0.90575045,Critical Risk,98.1,High Value,Critical,"numerical__tenure, numerical__MonthlyCharges, categorical__Contract_Month-to-month","categorical__gender_Male, categorical__Partner_Yes, categorical__TechSupport_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__tenure, numerical__MonthlyCharges, categorical__Contract_Month-to-month."
3871,0.902869,Critical Risk,101.55,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, numerical__MonthlyCharges","categorical__PaymentMethod_Electronic check, categorical__Partner_Yes, categorical__DeviceProtection_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, numerical__MonthlyCharges."
5989,0.89580804,Critical Risk,94.6,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No","categorical__Partner_No, categorical__DeviceProtection_Yes, numerical__MonthlyCharges","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No."
5125,0.89262724,Critical Risk,94.0,High Value,Critical,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__DeviceProtection_Yes, categorical__Partner_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
2921,0.8912235,Critical Risk,95.5,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__Partner_Yes, categorical__DeviceProtection_Yes, categorical__gender_Female","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
3919,0.8910652,Critical Risk,93.55,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female","categorical__gender_Male, categorical__PaymentMethod_Electronic check, categorical__Partner_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female."
6741,0.8888535,Critical Risk,96.0,High Value,Critical,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female","categorical__gender_Male, categorical__MultipleLines_No, categorical__Partner_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female."
933,0.88849264,Critical Risk,84.6,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female","categorical__gender_Male, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female."
2727,0.8879475,Critical Risk,94.85,High Value,Critical,"numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__PaymentMethod_Electronic check, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
85,0.887441,Critical Risk,99.3,High Value,Critical,"numerical__MonthlyCharges, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__PaymentMethod_Electronic check, categorical__Partner_Yes, categorical__PaymentMethod_Credit card (automatic)","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__MonthlyCharges, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
1456,0.8873005,Critical Risk,100.0,High Value,Critical,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female","categorical__gender_Male, categorical__OnlineBackup_No, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female."
6838,0.88577396,Critical Risk,99.0,High Value,Critical,"numerical__MonthlyCharges, categorical__Contract_Month-to-month, numerical__tenure","categorical__TechSupport_No, categorical__Partner_Yes, categorical__PaymentMethod_Electronic check","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__MonthlyCharges, categorical__Contract_Month-to-month, numerical__tenure."
2167,0.8800104,Critical Risk,95.25,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__Partner_No, categorical__DeviceProtection_Yes, numerical__MonthlyCharges","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
352,0.8792172,Critical Risk,89.15,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female","categorical__gender_Male, categorical__MultipleLines_No, categorical__Partner_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female."
6574,0.8744636,Critical Risk,90.1,High Value,Critical,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__Partner_Yes, categorical__StreamingMovies_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
1485,0.87179315,Critical Risk,96.7,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, numerical__MonthlyCharges","numerical__tenure, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, numerical__MonthlyCharges."
5227,0.86980426,Critical Risk,96.2,High Value,Critical,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, numerical__tenure","categorical__PaperlessBilling_Yes, categorical__Partner_Yes, categorical__gender_Female","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, numerical__tenure."
1081,0.8672921,Critical Risk,98.85,High Value,Critical,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic","numerical__tenure, categorical__Partner_No, categorical__DeviceProtection_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic."
3467,0.86528933,Critical Risk,91.4,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No","categorical__MultipleLines_No, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No."
5591,0.8633682,Critical Risk,88.45,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No","categorical__MultipleLines_No, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No."
5213,0.86080885,Critical Risk,92.55,High Value,Critical,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__Partner_No, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
4173,0.8601423,Critical Risk,86.55,High Value,Critical,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__Partner_Yes, categorical__StreamingTV_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
